id|signer|raw_glosses|glosses|words
2020-01-16/012320-012458|Signer1|時光飛逝 多 年輕人 其實 香港 給 中國 之後 出生|時光飛逝 多 年輕人 其實 香港 給 內地 之後 出生|事實上大部分這些青年人 也在香港回歸祖國之後出生
2020-01-16/013008-013141|Signer1|你 國家+兩制 臺灣 全世界 看 笑|你 國 兩 制 臺灣 全世界 看 笑|你更令到一國兩制 在台灣在全世界變成一個笑話
2020-01-16/013165-013500|Signer1|一般 説 香港 全部 信任 重新 建立 賣 警察 電+槍 電+槍 會 死 容易 關於 林+月 説 重新 建立 警察 衝突 暴力 視而不見|一般 説 香港 全部 信任 重新 建立 賣 警察 電 槍 電 槍 會 死亡 容易 關於 林 月 説 重新 建立 警察 衝突 暴力 視而不見|一方面說要和香港人重建信任 一方面容許警隊買電槍 電槍可致命 一方面林鄭月娥說重建法治 一方面對警暴視而不見
2020-01-16/015347-015474|Signer1|現在 發生 身份 <BAD> 政府+有權力的人 要 負責 要|現在 發生 身份 <BAD> 政府 有權力的人 要 負責 要|今次引發的事件 作為行政長官是要負責的
2020-01-16/015566-015647|Signer1|繼續 堅持 處理|繼續 堅持 處理|在今天這困局中繼續把持大局
2020-01-16/015663-015831|Signer1|現在 時間 想 承擔 重要 甚麼 要 一步一步 <BAD> 處理 解決|現在 時間 想 承擔 重要 甚麼 要 一 步 一 步 <BAD> 處理 解決|在這個時候最能夠展示這種承擔 就是好好地處理目前這個困局
2020-01-16/015860-016155|Signer1|問答 超過 十 人+主 議員 其實 梁+彥 説 其實 行爲 有問題 驅離 工+聯 六 責罵 人+主 團體 <BAD> 驅離|問答 超 十 人 主 議員 其實 梁 彥 説 其實 行爲 有問題 驅離 工 聯 六 責罵 人 主 團體 <BAD> 驅離|答問會期間超過十名民主派議員 被主席梁君彥裁定行為不檢點 逐出會議廳 工聯會陸頌雄亦因在席指罵民主派 被逐離場
2020-01-16/016193-016336|Signer1|政府+有權力的人 林+月 宣佈 完 十+計劃 宣佈 時間+表 估 完|政府 有權力的人 林 月 說 完 十 計劃 說 時間 表 估 完|行政長官林鄭月娥指 已就新公布的十項措施的推行時間表 作出預測
2020-01-16/016370-016601|Signer1|負責 幫助 老人家 基本 其實 一+百 億 十+計劃 星期二 宣佈 問答 勞工 團體 議員 批評 遲|負責 幫 老人家 基本 其實 一 百 億 十 計劃 星期 二 說 問答 勞工 團體 議員 批評 遲|扶助長者及基層市民 合共涉及約一百億元的十項紓困措施 星期二公布 答問會上 有勞工界議員批評措施來得太遲
2020-01-16/016614-016758|Signer1|如果 政府+有權力的人 早 答 答 答 市民 希望 估 怨氣 減少|如果 政府 有權力的人 早 答 答 答 市民 希望 估 怨氣 減少|如果特首是早一點回應市民訴求 我想市民的怨氣會更少
2020-01-16/016806-016993|Signer1|現在 全部 計劃 現在 政府 定下 表+時間 有沒有 給我 我們 看 真 有 能力 決定 下|現在 全部 計劃 現在 政府 定下 表 時間 有沒有 給我 我們 看 真 有 能力 決定 下|我們這些措施在現屆政府 有沒有確實時間表 讓市民見到 我們真的有能力落實這些措施
2020-01-16/017013-017230|Signer1|十+計劃 列表 全部 有 估 時間 甚麼 推廣 能夠|十 計劃 列表 全部 有 估 時間 甚麼 推廣 能|十項措施每一項基本上都作預測 究竟甚麼時候推行
2020-01-16/017241-017487|Signer1|收入 少 代替 付款 強+金 要 配合 規則 一定 要 電 上網 強+金 開始 能夠 推廣|收入 少 代替 付款 強 金 要 配合 規則 一定 要 電 上網 強 金 開始 能 推廣|為低收入人士代供強積金 就要配合制度 因為必須要有電子強積金平台 才能有效推行
2020-01-16/017501-017658|Signer1|有 部分 計劃 要 好像 何 議員 告訴我 一樣 人面對面坐 傾談 要|有 部分 計劃 要 好像 何 議員 告訴我 一 樣 人面對面坐 傾談 要|有些措施是如何議員稱 要大家坐下來談
2020-01-16/018109-018444|Signer1|有 經濟 議員 要 關於 反對 修改 法律 安排 影響 租 出糧 要 幫助 破壞 公司 店舖 示威 經濟 不行 經常 早 關門 落閘|有 經濟 議員 要 關於 反對 修改 法 安排 影響 租 出糧 要 幫 破壞 公司 店舖 示威 經濟 不行 經常 早 關門 落閘|亦有商界議員要求 政府向反修例風波受影響的商戶 提供租金及人工支援 受破壞的商戶有時因為示威 完全做不到生意 經常要提早關門
2020-01-16/018552-018897|Signer1|政府+有權力的人 奇怪 想法 直接 幫助 例如 開始 <GARBAGE> 幫助 店舖 或者 公司 <GARBAGE> 幫助 付款 三個月 租金 幫助 出糧 三個月 負責|政府 有權力的人 奇怪 想 直接 幫 例如 開始 幫 店舖 或者 公司 幫 付款 三 個 月 租金 幫 出糧 三 個 月 負責|特首你會否考慮一些直接到位的方法 例如即時幫助這些商舖或企業 幫他們付三個月租金 付三個月人工 政府提出的舒緩措施
2020-01-16/019316-019541|Signer1|但是 <GARBAGE> 過程 要 小心 評估 建議 <X> 全部 建議 收集 考慮|但是 過程 要 小心 評估 建議 <X> 全部 建議 收集 考慮|但做的過程要審慎 對於具體建議要一併考慮
2020-01-16/019551-019926|Signer1|最 好 解決 方法 甚麼 我們 合作 努力 <BAD> 全部 衝突 活動 停止 香港 重複 平+靜 經濟 公司 重複 經濟 活動 能夠|最 好 解決 方法 甚麼 我們 合作 努力 <BAD> 全部 衝突 活動 停 香港 重複 平 靜 經濟 公司 重複 經濟 活動 能|最能夠撲熄這個火 是我們共同努力 遏止這些暴力行為 她又指 香港早日回復平和安靜 才能讓商界和企業 回復正常商業活動
2020-01-16/020029-020289|Signer1|警察 再 去 上水 湖 其實 河+村 研究 這 農田 下面 藥+爆 拘捕 女+屋 三+人|警察 再 去 上水 湖 其實 河 村 研究 這 農田 下面 藥 爆 拘捕 女 屋 三 人|警方再到上水河壩村村屋搜查 在農地發現烈性炸藥 拘捕女戶主等三人
2020-01-16/020401-020589|Signer1|日本 發現 第一次 傳染 新+冠狀+病+毒 <X> 哪裡來 中國 曾經 去 武漢|日本 發現 第 一 次 傳染 新 冠狀 病 毒 <X> 哪裏來 內地 曾經 去 武漢|日本出現首宗感染新型冠狀病毒個案 患者來自中國 曾到過武漢
2020-01-16/022247-022572|Signer1|警察 星期二 旺角 菜+街 <BAD> 屋 房 研究 其實 水+管 金屬 其實 爆炸 上水 河+村 懷疑 下面 實驗+房 拘捕 年齡+二+九|警察 星期 二 旺角 菜 街 <BAD> 屋 房 研究 其實 水 管 金屬 其實 爆炸 上水 河 村 懷疑 下面 實驗 房 拘捕 年齡 二 九|警方周二在旺角通菜街一個單位 搜獲懷疑土製金屬水喉管炸彈 同日在上水河壩村一間村屋 發現懷疑製造爆炸品實驗室 拘捕一名29歲疑犯
2020-01-16/022611-022964|Signer1|中午 帶 懷疑 去 村 搜查 有 命令 警察+狗 搜查 農田 搜查 下面 有 包蓋 膠+袋 包蓋 左右 一+百 克 黃色 粉 懷疑 爆炸 粉|中午 帶 懷疑 去 村 調查 有 命令 警察 狗 調查 農田 調查 下面 有 包蓋 膠 袋 包蓋 左右 一 百 克 黃色 粉 懷疑 爆炸 粉|警方中午帶疑犯回村屋蒐證 出動警犬徹底搜查村屋對出的農田 發現田地埋了一袋用膠袋包著 約重100克的黃色粉狀物 懷疑是烈性炸藥
2020-01-16/024885-025111|Signer1|反對 修改 法律 活動 其實 嚴重 破壞 九龍+糖 又一城 其實 商場 關閉 兩個月 早上 開 保護 工作 看到|反對 修改 法 活動 其實 嚴重 破壞 九龍 糖 又一城 其實 商場 關閉 兩 個 月 早上 開 保護 工作 看到|在反修例活動中遭嚴重破壞的 九龍塘又一城商場 關閉超過兩個月後 早上重開保安明顯加強
2020-01-16/025646-025736|Signer1|商場 內 有 部分 店舖 靚+張貼|商場 內 有 部分 店舖 靚 張貼|商場內只有部分店鋪貼上揮春
2020-01-16/025753-026082|Signer1|張開長方形 貼長方形 紙 部分 店舖 開 開 集中 美+心+公司 在下位的 星巴克 有 噴漆 招牌 維修 完 溜冰 負責 忙 清潔|張開長方形 貼長方形 紙 部分 店舖 開 開 集中 美 心 公司 在下位的 星巴克 有 噴漆 招牌 維修 完 溜冰 負責 忙 清理|多間商舖陸續營業 包括之前受針對 美心集團旗下的星巴克咖啡店 曾遭塗鴉的招牌亦已修復 溜冰場則有工作人員忙於清理
2020-01-16/026140-026455|Signer1|機場 現在 興建 人+天橋 關於 一 <X> 北 衛星 地方 <X> 估 年 中間 開始 能夠 去 北 <BAD> 節省 一半 時間|機場 現在 興建 人 天橋 關於 一 <X> 北 衛星 地方 <X> 估 年 中間 開始 能 去 北 <BAD> 節省 一 半 時間|機場正在興建一條行人天橋 連接一號客運大樓及北衛星客運廊 預計最快年中啟用 屆時旅客前往北衛星客運廊 可節省一半時間
2020-01-16/026469-026701|Signer1|重要 飛機 國+泰 港+龍 <BAD> 北 星星 關於 一 去 要 旅遊巴 差不多 二十+分鐘 至 三十+分鐘|重要 飛機 國 泰 港 龍 <BAD> 北 星星 關於 一 去 要 旅遊巴 差不多 二 十 分鐘 至 三 十 分鐘|主要停泊國泰港龍航班的 機場北衛星客運廊 現在由一號客運大樓前往 只能乘搭接駁巴士 需時約20至30分鐘
2020-01-16/026726-026902|Signer1|之後 行 天橋 <X> 十+分鐘 能夠 到 大家 試過 用 這|之後 行 天橋 <X> 十 分鐘 能 到 大家 試過 用 這|日後只需走過這條天際走廊 十分鐘就到 大家曾經使用過設施
2020-01-16/026930-027113|Signer1|可能 之後 知道 要 到 換 旅遊巴 旅遊巴到 這 <GARBAGE> 地方 客人|可能 之後 知道 要 到 換 旅遊巴 旅遊巴到 這 地方 客人|體驗需要接駁巴士去客運廊
2020-01-16/027139-027359|Signer1|如果 飛機 飛機滑行 旅遊巴 全部 要 讓 飛機|如果 飛機 飛機滑行 旅遊巴 全部 要 讓 飛機|若遇上飛機經過滑行道 接駁巴士需要讓路予飛機
2020-01-16/028855-029016|Signer1|飛機 估 橋 開始 完 年+一 減 十+萬 旅遊巴 旅遊巴來去 減 全部 壓力|飛機 估 橋 開始 完 年 一 減 十 萬 旅遊巴 旅遊巴來去 減 全部 壓力|機管局預料 天際走廊啟用後 每年可以減少約十萬班次的接駁巴士 減輕停機坪運作的壓力
2020-01-16/030417-030653|Signer1|現在 宣佈 完 病 菌 毒 有 限制 限制 人 傳染 人 有 機會 會|現在 說 完 病 菌 毒 有 限制 限制 人 傳染 人 有 機會 會|儘管已公布的這種病毒個案有限 無法排除人類互相感染的可能性
2020-01-16/030667-030782|Signer1|現在 不能 十全十美 一定 證明 人 傳染 人|現在 不能 十全十美 一定 証實 人 傳染 人|目前尚無明確證據證明可以人傳人
2020-01-16/032256-032531|Signer1|多 雲 風 東 夜晚 改變 涼 暴力 風 北 換 差不多 涼 有 部分 下雨 最 低 溫度 十六 左右 新+界 溫度+下降 十五 十四 左右|多 雲 風 東 晚上 變 涼 暴力 風 北 換 差不多 涼 有 部分 下雨 最 低 溫度 十 六 左右 新 界 溫度 下降 十 五 十 四 左右|大致多雲 吹和緩東風晚間轉吹清勁北風 天氣轉涼及有一兩陣微雨 市區最低氣溫約16度
2020-01-17/000399-000710|Signer1|港鐵 屯+馬+線 去 大+圍 去 飛機+德 二+月 中 開始 <BAD> 開始 通車 因爲 入 <X> 大人 八達通 減 一+元 能夠 <X> 改變 全部 通車 取消|港鐵 屯 馬 線 去 大 圍 去 飛機 德 二 月 中 開始 <BAD> 開始 通車 因爲 入 <X> 大人 八達通 減 一 元 能 <X> 變 全部 通車 取消|港鐵屯馬綫由大圍去啟德站下月中通車 在顯徑及啟德站出入聞 成人八達通每程可減一元 直至全綫通車
2020-01-17/000827-001089|Signer1|警察 男 屋 內 搜查 懷疑 槍 <X> 子彈 其實 估 十一+月 發現 槍 發生 發生 發生 有 關於|警察 男 屋 內 調查 懷疑 槍 <X> 子彈 其實 估 十 一 月 發現 槍 發生 發生 發生 有 關於|警方在一名男子的寓所搜出懷疑手槍 及一批子彈 相信與上月多宗發現槍械案有關
2020-01-17/001175-001414|Signer1|武漢 新 加 一 冠狀+病+毒 死亡 情況 不知道 有沒有 去 華+南+海+街 或者 其他 人 有沒有 不知道|武漢 新 加 一 冠狀 病 毒 死亡 情況 不知道 有沒有 去 華 南 海 街 或者 其他 人 有沒有 不知道|武漢新增一宗 新型冠狀病毒死亡個案 未知他有無到過華南海鮮市場 或接觸其他患者
2020-01-17/003347-003430|Signer1|知道 二+月 十四+日 好 節日|知道 二 月 十 四 日 好 節日|二月十四日是個好日子
2020-01-17/004429-004700|Signer1|屯+馬+線 第一+期 開始 完 馬+山 名字 顯徑 因爲 直接 去 鑽石+山 轉 觀塘+線 一定 去 轉 大+圍 轉 九龍 不一定|屯 馬 線 第 一 期 開始 完 馬 山 名字 顯徑 因爲 直接 去 鑽石 山 轉 觀塘 線 一定 去 轉 大 圍 轉 九龍 不一定|馬綫一期通車之後 顯徑及馬鞍山的居民 可以直接到鑽石山站轉觀塘綫 不一定要到大圍站轉東鐵綫出九龍
2020-01-17/005848-006169|Signer1|其實 等 紅磡 裝修 裝修 完成 屯+馬 <MUMBLE> 舊+德 <BAD> 紅磡 開始 通車 改變 紅磡 裝修 工程 裝修 現在 進行 急|其實 等 紅磡 裝修 裝修 完成 屯 馬 <MUMBLE> 舊 德 <BAD> 紅磡 開始 通車 變 紅磡 裝修 工程 裝修 現在 進行 急|情況要等紅磡站修復工程完成 馬綫啟德到紅磡開通才可改善 紅磡站修復工程或是改良工程 現在正進行得如火如荼
2020-01-17/006208-006583|Signer1|跟隨 現在 資料 大+圍 到 紅磡 段 年 估 二+零+二+一 尾 或者 之前 港鐵 公司 全部 有 團體 努力 進行 工作|跟隨 現在 資料 大 圍 到 紅磡 段 年 估 二 零 二 一 尾 或者 以前 港鐵 公司 全部 有 團體 努力 進行 工作|按我們現在的理解 由大圍到紅磡段 需要到2021年底或之前 當然港鐵公司和有關團隊 正全力推展有關工作
2020-01-17/007428-007734|Signer1|警察 沙+田 廣+村 拘捕 年齡+二+七 男 屋 內 研究 槍 有 子彈 <GARBAGE> 估 關於 十一+月 研究 多 槍 爆炸 關於|警察 沙 田 廣 村 拘捕 年齡 二 七 男 屋 內 研究 槍 有 子彈 估 關於 十 一 月 研究 多 槍 爆炸 關於|警方在沙田廣源邨拘捕一名27歲男子 在其寓所搜出一支手槍及一批子彈 相信跟上月 多宗發現槍械及炸彈案件有關
2020-01-17/008757-008998|Signer1|之前 搜查 槍 <GARBAGE> 貨物 方法 甚麼 關於 <BAD> 其實 信+寄 例如 貨物 爛 車 好 甚麼|以前 調查 槍 貨物 方法 甚麼 關於 <BAD> 其實 信 寄 例如 貨物 爛 車 好 甚麼|以往較早前搜到槍械 入來的辦法就是透過郵遞 接著就是拆件
2020-01-17/009034-009141|Signer1|研究 比較 難 零件 分開 分開 分開 難 題目|研究 比較 困難 零件 分開 分開 分開 困難 題目|拆件好處是被偵查出來有難度
2020-01-17/009167-009377|Signer1|有 一+人 或者 幾+人 全部 組裝 完成 完 給 思想 極端 團體 他們 用|有 一 人 或者 幾 人 全部 組裝 完成 完 給 思想 極端 團體 他們 用|由一名人士或幾位人士組裝成功 之後交予極端人士使用
2020-01-17/009405-009496|Signer1|組裝 多少 槍 要 研究 看 看|組裝 多少 槍 要 研究 看 看|究竟可以組裝成幾多支槍 我們仍要調查
2020-01-17/009521-009756|Signer1|但是 例如 配合 配合 子彈 各式各樣 貨運 偷偷地 香港 其實 想 用 這 犯規 香港 法律 規則|但是 例如 配合 配合 子彈 各種 貨運 偷偷地 香港 其實 想 用 這 犯規 香港 法 規則|L但配件本身如果運入本港 而我們證實想使用 都是違反香港法例
2020-01-17/009793-010086|Signer1|八 通宵 屯門 張貼 政治 宣傳 拘捕 包括 一 休息 放假 警察 反對 修改 規則 七+月 內 第一次 有 警察 關於 發生 事情 拘捕|八 通宵 屯門 張貼 政治 宣傳 拘捕 包括 一 休息 放假 警察 反對 修改 規則 七 月 內 第 一 次 有 警察 關於 發生 事情 拘捕|八人凌晨在屯門張貼政治宣傳海報被捕 包括一名休班警察 是反修例風波七個月以來 首次有警察涉及有關事件被捕
2020-01-17/014797-015164|Signer1|<MUMBLE> 召集 開會 <GARBAGE> 要 請 請 另外 另外 部門 部門 部門 要 加 強 <BAD> 其實 衞生 留意 <MUMBLE> 衞生+屋 全部 香港 出入 有 額探 溫度|<MUMBLE> 召集 開會 要 請 請 另 另 部門 部門 部門 要 加 強 <BAD> 其實 衞生 留意 <MUMBLE> 衞生 屋 全部 香港 出入 有 額探 溫度|所以特別召開會議 要其他部門進一步加強 對於這些公共衛生的警覺性 衛生署在所有港口都有探測體溫 特別我剛才所說
2020-01-17/015177-015310|Signer1|剛剛 説 武漢 回來 特別 留意 少許 集中 處理 工作|剛剛 説 武漢 回來 特別 留意 少許 集中 處理 工作|武漢回來我們特別做這方面的工作
2020-01-17/015324-015692|Signer1|衞生 <MUMBLE> 中+心 宣佈 <X> 發燒 或者 肺+發炎 病人 <BAD> 病 之前 去 武漢 曾經 日+十四 時段|衞生 <MUMBLE> 中 心 說 <X> 發燒 或者 肺 發炎 病人 <BAD> 病 以前 去 武漢 曾經 日 十 四 時段|衞生防護中心公布 除了出現發燒或肺炎的病人 病發前十四日曾到武漢要呈報 曾到訪內地醫院 或與新型冠狀病毒確診者 有過緊密接觸的個案都要呈報
2020-01-17/015726-015862|Signer1|泰國 確定 第二 新+肺+炎(=新冠肺炎) 情況 病 哪裡來 武漢|泰國 確定 第 二 新 肺 炎 情況 病 哪裏來 武漢|泰國確診第二宗新型肺炎個案 患者來自武漢
2020-01-17/015872-016205|Signer1|泰國 衞生 部門 負責人 有 關於 名字 地方 暖+武 召集 有 關於 新 其實 ! 最近 有 真 證明 兩 中國+人 旅行 健康 改變 有|泰國 衞生 部門 負責人 有 關於 名字 地方 暖 武 召集 有 關於 新 其實  最近 有 真 証實 兩 內地 人 旅遊 健康 變 有|泰國衛生部門官員 在暖武里府召開記者會交代情況 指最新一宗及先前證實感染 新型肺炎的兩名中國遊客 健康狀況已有重大改善
2020-01-17/017331-017611|Signer1|監+警+會 延遲 遲 宣佈 評估 警察 處理 活動 第一 報告 不開心 人+主 團體 懷疑 偷偷地 借 口 延遲 遲|監 警 會 延遲 遲 說 評估 警察 處理 活動 第 一 報告 不開心 人 主 團體 懷疑 偷偷地 借 口 延遲 遲|監警會對延遲發布 審視警方處理公眾活動的首階段報告 感到遺憾 民主派質疑找藉口拖延
2020-01-17/017706-017897|Signer1|大陸+人 打 破壞 十四+億 但是 出生 出生 出生 創作 一+九+五+二 至今 最 新 低|內地 人 打 破壞 十 四 億 但是 出生 出生 出生 創作 一 九 五 二 至今 最 新 低|內地人口突破十四億 但出生率創1952年以來新低
2020-01-17/020212-020342|Signer1|這 這 情況 明白 人民 想 期待|這 這 情況 明白 人民 想 期待|所以我們在這方面也明白 公眾有一個期望
2020-01-17/020834-021069|Signer1|人+主 團體 懷疑 拖延 遲 有 關於 政治 <MUMBLE> 考慮 是不是 重複 再 閱讀 其實 早 宣佈 影響 不會|人 主 團體 懷疑 拖延 遲 有 關於 政治 <MUMBLE> 考慮 是不是 重複 再 閱讀 其實 早 說 影響 不|民主派質疑延遲公布是基於政治考慮 認為在司法覆核有結果前公布 亦不會造成不可彌補的影響
2020-01-17/021084-021437|Signer1|覺得 法律 申請 重複 閱讀 申請 至今 有 甚麼 變 <GARBAGE> 暫時 命令 其實 禁止 監+警+會 動作 包括 報告 沒有|覺得 法 申請 重複 閱讀 申請 至今 有 甚麼 變 暫時 命令 其實 禁止 監 警 會 動作 包括 報告 沒|看不到由司法覆核 由申請到現在有甚麼變化 既沒有一個臨時禁制令 禁制任何監警會的行動 包括公布報告
2020-01-17/023163-023290|Signer1|其實 偷偷地 人 改變 少許|其實 偷偷地 人 變 少許|作出小小的走私模式變更
2020-01-17/024204-024433|Signer1|大陸 人 最近 破壞 十四+億 但是 出生 創作 年+一+九+五+二 至今 最 低 男 女 差距大 差距收窄|內地 人 最近 破壞 十 四 億 但是 出生 創作 年 一 九 五 二 至今 最 低 男 女 差距大 差距收窄|內地人口突破十四億 但出生率創1952年以來新低 男女比例差距收窄
2020-01-17/025807-026111|Signer1|新 出生 嬰兒 第二 百分比 <MUMBLE> 內 五+七 百分比 繼續 加 加 有|新 出生 嬰兒 第 二 百分比 <MUMBLE> 內 五 七 百分比 繼續 加 加 有|在新生出生嬰兒中 二孩的比例達到百分之57 連續幾年都是提高的
2020-01-17/027380-027491|Signer1|經濟 平衡 <GARBAGE> 之後 好|經濟 平衡 之後 好|經濟穩定向好
2020-01-17/028510-028870|Signer1|日本 環境 負責人 名字 出生+男 出生 <BAD> 休息 兩+星期 嬰兒 照顧 其實 改變 <BAD> 氣氛 第一次 <BAD> 公+開 放假 照顧 嬰兒|日本 環境 負責人 名字 出生 男 出生 <BAD> 休息 兩 星期 嬰兒 照顧 其實 變 <BAD> 氣氛 第 一 次 <BAD> 公 開 放假 照顧 嬰兒|日本環境大臣小泉進次郎兒子出生 他表示會放兩周育兒假 期望藉此改善職場風氣 是歷來首位公開放育兒假的內閣成員
2020-01-17/029405-029568|Signer1|名字 他 宣佈 想 照顧 結婚+<BAD> 照顧 出生+意兒子 之後 三個月 一共 放假 兩+星期|名字 他 說 想 照顧 結婚 <BAD> 照顧 出生 意兒子 之後 三 個 月 一共 放假 兩 星期|小泉進次郎表示 為協助妻子照顧兒子 將在未來三個月內 合共休假兩周
2020-01-17/029592-029716|Signer1|其實 請假 請假 其實 難 決定 其實 影響 工作 不會|其實 請假 請假 其實 困難 決定 其實 影響 工作 不|共同社報道 小泉形容請假是艱難決定 強調不會影響履行職責
2020-01-17/029728-029849|Signer1|放假 休息 過程 會 到 內+會議 <X> 電郵 視像+會議 會|放假 休息 過程 會 到 內 會議 <X> 電郵 視像 會議 會|又指休假期間 仍會出席內閣會議 以電郵和視像會議等方式辦公
2020-01-17/032108-032447|Signer1|雲 多 早上 涼 多區 最 低 溫度 十七 新+界 溫度 <X> 十六 十五 <MUMBLE> 短 時間 有 光 最 高 溫度 二十 左右 風 東+北 風 暴力 部分|雲 多 早上 涼 多區 最 低 溫度 十 七 新 界 溫度 <X> 十 六 十 五 <MUMBLE> 短 時間 有 光 最 高 溫度 二 十 左右 風 東 北 風 暴力 部分|大致多雲 明早天氣清涼 市區最低氣溫約17度 新界再低兩三度 日間短暫時間有陽光 最高氣溫約20度 吹和緩東北風 風勢間中清勁
2020-01-17/032462-032605|Signer1|之後 二+日 三+日 部分 時間 光 下 星期 逐漸 暖 濕|之後 二 日 三 日 部分 時間 光 下 星期 逐漸 暖 濕|展望隨後兩三日部分時間有陽光
2020-01-18/000369-000601|Signer1|名字+陳 <MUMBLE> 宣佈 錢 派 是不是 考慮 政府 負擔 要 宣佈 下 期 經濟 赤字 增加 會|名字 陳 <MUMBLE> 說 錢 派 是不是 考慮 政府 負擔 要 說 下 期 經濟 赤字 加 會|陳茂波指是否派錢 要考慮政府的負擔能力 又預告下個年度財政赤字會擴大
